Timestamp,user,system,iowait,Total CPU,iostat read (MB/s),iostat write (MB/s)
56:57,0.03,0.02,0.08,0.14,0.12,1.24
56:58,12.89,3.66,8.72,25.27,121.75,0.3
56:59,0.81,0.54,1.6,2.96,110.5,2.72
57:00,1.81,0.58,1.25,3.65,65.6,0.0
57:01,1.98,1.06,0.35,3.4,15.59,1.71
57:02,0.63,1.0,2.88,4.51,0.28,92.96
57:03,1.13,0.63,4.09,5.84,0.01,138.62
57:04,5.58,2.6,1.03,9.21,0.21,64.07
57:05,2.65,0.88,0.06,3.6,1.39,3.72
57:06,0.94,1.02,3.34,5.31,0.0,105.84
57:07,2.0,1.56,0.35,3.91,0.0,13.8
57:08,1.63,0.77,1.92,4.32,0.0,62.37
57:09,1.19,0.79,0.19,2.17,0.0,6.57
57:10,3.45,1.29,0.19,4.93,0.0,21.73
57:11,1.46,1.02,1.92,4.4,0.0,66.9
57:12,1.48,0.96,0.81,3.26,57.27,0.88
57:13,2.81,1.77,0.12,4.7,14.37,1.08
57:14,1.94,0.92,2.4,5.26,0.01,126.26
57:15,0.46,0.71,3.4,4.57,0.02,130.1
57:16,0.71,0.84,6.56,8.11,0.78,144.27
57:17,0.87,1.19,5.21,7.27,0.05,128.28
57:18,1.38,0.63,1.92,3.92,0.0,145.39
57:19,0.62,0.83,1.56,3.02,0.02,120.0
