ExpEnv,FcCreateVM,FcCreateVMStd,FcCreateVMMin,FcCreateVMMax,NewContainer,NewContainerStd,NewContainerMin,NewContainerMax,NewTask,NewTaskStd,TaskStart,TaskStartStd,TaskWait,TaskWaitStd,Total,TotalStd
4_16_2000,975.0,35.0,925.0,1079.0,6326.0,150.0,6025.0,6630.0,217.0,32.0,15.0,11.0,0.0,0.0,7533.0,139.0
1_0_99999,959.0,16.0,919.0,976.0,231.0,9.0,222.0,252.0,182.0,6.0,10.0,2.0,0.0,0.0,1382.0,16.0
8_0_99999,997.0,41.0,940.0,1089.0,701.0,284.0,225.0,1243.0,222.0,35.0,21.0,14.0,0.0,0.0,1941.0,281.0
16_0_99999,1093.0,48.0,951.0,1231.0,1214.0,591.0,246.0,2342.0,248.0,38.0,31.0,16.0,0.0,0.0,2586.0,617.0
4_8_2000,955.0,18.0,921.0,982.0,3553.0,137.0,3333.0,3795.0,203.0,20.0,16.0,12.0,0.0,0.0,4728.0,123.0
4_32_2000,976.0,28.0,932.0,1087.0,6609.0,207.0,6139.0,7005.0,203.0,26.0,16.0,12.0,0.0,0.0,7804.0,199.0
4_0_99999,966.0,9.0,938.0,983.0,439.0,138.0,217.0,686.0,208.0,29.0,18.0,14.0,0.0,0.0,1632.0,120.0
32_0_99999,1403.0,96.0,1173.0,1654.0,2315.0,1247.0,236.0,4685.0,276.0,36.0,29.0,15.0,0.0,0.0,4024.0,1334.0
4_4_2000,961.0,12.0,927.0,982.0,1515.0,136.0,1288.0,1744.0,197.0,16.0,20.0,16.0,0.0,0.0,2693.0,124.0
